ID,Deutsch,English,Comments,,
cardset.adult.card.ca0,Ich sorge mich nicht um Geld - die Dinge werden sich schon regeln.,"I think things will work out, so I don't worry about money.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca1,Nach einer Gehaltserhöhung fragen? Nach einem besseren Angebot fragen? Das bin nicht ich – ich mag es nicht zu verhandeln.,Ask for a raise? Ask for a better deal? Not me! I don't like to negotiate or bargain.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca2,Ich mag es nicht an einen Plan gebunden zu sein und möchte meine Optionen offen halten.,I like to keep my options open. I do not want to be tied to a plan.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca3,"Wenn ich Geld benötige, frage ich meine Freunde oder Familie um Hilfe.",When I need money. I just ask my friends or family to help me.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca4,"Ich denke, dass die meisten Menschen besser mit Geld umgehen können als ich.",I think most people can manage money better than I can.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca5,"Ich frage mich oft, wohin mein Geld fließt. Es scheint sich in Luft aufzulösen.",I often wonder where my money went. It seems to just disappear!,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca6,Ich ändere meine Pläne um anderen entgegenzukommen.,I change my plans to do what others want to do.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca7,"Ich muss Verzugsgebühren bezahlen, da ich meine Rechnungen nicht pünktlich bezahle.",I have to pay late fees because I do not pay my bills on time.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.ca8,Ein Vermögen gewinnen? Viel Geld erben? Klingt super! Aber ich möchte nicht dafür verantwortlich sein.,Win a fortune? Inherit lots of money? Sounds good! But I would not want to be responsible for it.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi0,"Ich helfe anderen, ohne dass sie fragen. Ich gebe Ihnen Geld oder kaufe Dinge für sie.",I help others even when they do not ask. I give them money or buy things for them.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi1,"Ich bin nach Feiertagen häufig im Minus, da ich zu viel Geld für Geschenke ausgebe.",I owe money after the holidays because I spend a lot on gifts.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi2,Ich gebe Dinge auf um anderen zu helfen.,I give up things I want so I can help others.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi3,"Ich gebe viel Geld für Andere aus, aber nicht für mich selbst.",I spend a lot on others but I don't spend money on myself.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi4,"Ich denke, dass viel Geld den Charakter eines Menschen verdirbt.","I think that when people have a lot of money, it corrupts them.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi5,Ich mag es eher anderen zu geben oder zu helfen als selbst Geschenke oder Hilfe zu bekommen.,I like giving to others more than receiving gifts or help.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi6,"Wenn Menschen Dinge verkaufen, um Spenden zu sammeln, werde ich es kaufen um ihnen zu helfen - selbst, wenn ich es nicht brauche.",Sometimes people ask me to buy something they are selling to raise money. I will buy it to help them even if I don't need it.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi7,Es würde sich merkwürdig anfühlen mehr Geld oder schönere Dinge zu besitzen als meine Freunde oder meine Familie. ,It would feel strange to have more money or nicer things than my friends or family.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.gi8,"Wenn ich viel Geld hätte, würde ich an erster Stelle anderen helfen.","If I had a lot of money, the first thing I would do is help others.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl0,"Für ungeplante Ausgaben habe ich extra Geld zur Seite gelegt. Oder ich weiß wie ich schnell an Geld kommen könnte, wenn ich es brauche. ","When things happen that I didn't plan on, I have extra money. Or I know how I can get money right away if I need it.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl1,Ich habe einen Plan wie ich Geld ausgebe und spare.,I have a plan for how I spend and save my money.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl2,Ich halte inne und denke über meine Auswahlmöglichkeiten nach bevor ich Geld ausgebe.,I stop and think about my choices before I spend my money.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl3,"Ich recherchie und sammle Informationen über hochpreisige Produkte. Auf diese Weise kann ich Qualität und Preis vergleichen. Beispiele sind Schmuck, ein Handy, ein Auto oder ein Haus.","I research high-priced things. That way, I can compare quality and price.

Examples:
- car
- house
- phone
- jewelry",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl4,"Ich weiß viel über meine/unsere Finanzen, wie zum Beispiel Versicherungen, Ersparnisse und Investments.","I know a lot about my (our) finances.

This may be:
- insurance (health, car, home)
- savings
- investments",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl5,"Ich kaufe Dinge, die ich benötige. Dabei ist es mir egal, ob sie die besten, neuesten oder von einer bestimmten Marke sind.","I buy things because they meet my needs. I do not care if they are the newest, the best or have a name brand.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl6,"Ich kaufe nur Dinge, deren Kauf ich geplant habe. Ich werde nichts darüber hinaus, oder etwas mit weiteren Eigenschaften, kaufen. ",I only buy what I planned to buy. I will not get extra items or extra features.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl7,Ich kenne den Unterschied zwischen dem was ich brauche und was ich will.,I know the difference between what I need and what I want.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.pl8,"Wenn ich einen Plan habe, halte ich mich daran.","Once I have a plan, I stick to it.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se0,"Wenn ich mit Freunden essen bin, zahle ich ausschließlich für meinen Anteil.",I like to get separate bills when I eat out with others. I only want to pay my fair share.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se1,Ich wende viel Zeit und Energie auf um ein besseres Angebot zu bekommen.,I will spend a lot of time and energy to get a better deal.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se2,"Ich bewahre meine Geld so auf, dass ich schnell an es herankomme.",I like to keep my money where I can get to it quickly.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se3,"Ich kaufe nur Dinge, wenn ich diese sofort bezahlen kann.",I only buy things if I can pay them off right away.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se4,"Ich behalte den Überblick über mein Geld. Ich weiß, wie viel ich habe und wie viel ich einnehme und ausgebe.","I keep track of my money.

I know:
- how much I have  
- how much is coming in  
- how much is going out",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se5,Ich spare oder investiere monatlich einen gewissen Anteil meines Geldes.,I save or invest a set amount of money each month.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se6,"Auch wenn ich mir Dinge leisten kann, die mir das Leben einfacher machen, werde ich diese nicht kaufen.","Even if I can afford things that make my life easier, I will not buy them.",Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se7,"Ich kaufe Produkte, die weniger kosten, anstelle von Produkten die ich wirklich möchte.",I will buy things that cost less instead of getting what I really want.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
cardset.adult.card.se8,"Ich kaufe nur Dinge, die nützlich und zweckmäßig sind.",I only buy things that are useful and practical.,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,,
