ID,Translation,English,Comments by Manuel,Comments,
cardset.adult.card.ca0,"Creo que todo saldrá bien , así que no me preocupo por el dinero","I think things will work out, so I don't worry about money.",,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca1,¿Pedir un aumento? ¿Solicitar un mejor trato? ¡Yo no! No me gusta negociar ni regatear,Ask for a raise? Ask for a better deal? Not me! I don't like to negotiate or bargain.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca2,Me gusta tener opciones. No me gusta estar atado a un plan.,I like to keep my options open. I do not want to be tied to a plan.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca3,"Cuando necesito dinero, le pido a mis amigos y familia que me ayuden",When I need money. I just ask my friends or family to help me.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca4,Creo que la mayoría de las personas pueden manejar el dinero mejor que yo.,I think most people can manage money better than I can.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca5,A veces me pregunto a dónde se fue mi dinero. Parece que simplemente desaparece.,I often wonder where my money went. It seems to just disappear!,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca6,Cambio mis planes para hacer lo que otros quieren.,I change my plans to do what others want to do.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca7,A veces pago recargos porque no pago mis deudas a tiempo,I have to pay late fees because I do not pay my bills on time.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.ca8,¿Ganar una fortuna? ¿Heredar mucho dinero? ¡Sería Fantástico! Pero tanta responsabilidad me asusta. ,Win a fortune? Inherit lots of money? Sounds good! But I would not want to be responsible for it.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.gi0,Ayudo a otros aunque no me lo pidan. Les doy dinero o les compro cosas.,I help others even when they do not ask. I give them money or buy things for them.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.gi1,Después del fin de año quedo debiendo dinero porque gasto mucho en regalos.,I owe money after the holidays because I spend a lot on gifts.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.gi2,No compro las cosas que quiero para poder ayudar a otros,I give up things I want so I can help others.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.gi3,Gasto dinero en otras personas comprando lo que no gasto en mi.,I spend a lot on others but I don't spend money on myself.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.gi4,"Creo que cuando la gente tiene mucho dinero, el dinero los echa a perder.","I think that when people have a lot of money, it corrupts them.",,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
cardset.adult.card.gi5,"Me siento mejor al dar o ayudar a los demás, que al recibir regalos y ayuda.",I like giving to others more than receiving gifts or help.,,Card text in Markdown format. Two line breaks required for a newline. Hyphen and space at the beginning of each list item. Two spaces at the end of each list item except the last one.,
